-1.467501806359253419e-03,2.748927556703645390e-03,3.105164572921533667e-03,-3.875161400950042495e-03
-8.735558102505001921e-03,1.545332771027477237e-02,1.703007554821846931e-02,-2.235026050424391772e-02
-2.510903496555729961e-02,3.939198156885966029e-02,4.367478792733971160e-02,-5.748501691211919951e-02
-5.019489797295836886e-02,6.692262846305939428e-02,7.787394226544958054e-02,-9.606886261706576446e-02
-7.998446630319357153e-02,9.053615639669888859e-02,1.126432576686524911e-01,-1.262185221755638409e-01
-1.104494753831704035e-01,1.063898239967018405e-01,1.432317308595986438e-01,-1.428183282457698988e-01
-1.386796550117861404e-01,1.136905631015923540e-01,1.673147262453863471e-01,-1.460699640084536788e-01
-1.626520422484077910e-01,1.131399055727184827e-01,1.839195532857033633e-01,-1.385089558118234310e-01
-1.809960306672330210e-01,1.053622476386990442e-01,1.925063880660436988e-01,-1.225137581394860481e-01
-1.927364439548150676e-01,9.085433715018818857e-02,1.927601709823673903e-01,-9.949634527758934033e-02
-1.975627375211458925e-01,7.076893561707582603e-02,1.856569035276823265e-01,-7.060803979544837128e-02
-1.962302342108149522e-01,4.703022059782569625e-02,1.732755798037153572e-01,-3.802109742932675840e-02
-1.901976957694289094e-01,2.212201652221496700e-02,1.584187991908247994e-01,-5.193659630116577615e-03
-1.810612507362188428e-01,-1.909566870682820891e-03,1.435002185839339972e-01,2.482200634419607851e-02
-1.703145325688981415e-01,-2.393453876284743626e-02,1.297825868140571048e-01,5.055990098697012158e-02
-1.591181808602543657e-01,-4.349628782582261322e-02,1.178302729646073937e-01,7.150473719702386821e-02
-1.483842695313672411e-01,-6.055583905912728659e-02,1.080048070469827592e-01,8.829852400908866361e-02
-1.389002592182439766e-01,-7.544309998528046790e-02,1.003968418500703758e-01,1.020308922170653915e-01
-1.311364513219991090e-01,-8.846974290774463345e-02,9.486409943306044201e-02,1.134188975903710622e-01
-1.250308757574037644e-01,-1.000336443979111256e-01,9.142454776061291477e-02,1.224825510710979976e-01
-1.198197251834995508e-01,-1.105169471379192497e-01,8.967822636104541556e-02,1.291647636674029820e-01
-1.143285164643241952e-01,-1.202388403431788599e-01,8.871137888682030515e-02,1.337819632027165972e-01
-1.074250482173058907e-01,-1.293130061281224374e-01,8.743685119367178293e-02,1.368109928775519679e-01
-9.855563552353556467e-02,-1.375740858474280293e-01,8.518210464171491192e-02,1.386810725891604312e-01
-8.768236432424188209e-02,-1.447633789005212113e-01,8.167075003970938885e-02,1.399323038880571912e-01
-7.503491873054075889e-02,-1.505309280554883722e-01,7.728641852839289450e-02,1.405088784671162383e-01
